               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097966,              0.2217,            0.081465,           0.0039986,            0.035607,           0.0028642,          0.00080407,            0.092906,             0.17751,            0.076947,           0.0033329,           0.0033329,            0.070004
                   1,            0.088515,             0.22669,            0.073212,             0.53988,            0.042573,            0.019854,           0.0062718,             0.08491,             0.17624,            0.065878,           0.0066647,           0.0066647,            0.040003
                   2,              0.0824,             0.22534,            0.063466,             0.34773,             0.10581,            0.063774,            0.023369,            0.078679,             0.17329,            0.054963,           0.0099907,           0.0099907,           0.0099952
                   3,            0.077799,             0.22147,            0.054602,             0.26381,              0.1955,             0.11965,            0.049397,            0.074385,              0.1694,            0.046527,             0.00998,             0.00998,             0.00998
                   4,            0.075023,             0.21788,            0.049136,             0.31665,             0.20004,             0.15646,            0.067676,            0.072141,             0.16729,            0.042207,             0.00998,             0.00998,             0.00998
                   5,            0.073407,             0.21542,            0.045919,             0.34498,             0.22022,             0.18186,             0.08057,             0.07087,             0.16559,            0.039893,           0.0099645,           0.0099645,           0.0099645
                   6,            0.072151,             0.21294,             0.04385,             0.36875,             0.22623,             0.19875,            0.088535,            0.070057,             0.16462,            0.038496,           0.0099446,           0.0099446,           0.0099446
                   7,             0.07142,             0.21159,            0.042334,             0.37568,             0.23909,             0.20866,            0.094935,            0.069487,             0.16383,            0.037566,           0.0099203,           0.0099203,           0.0099203
                   8,            0.070879,             0.21097,            0.041251,             0.38958,             0.24129,             0.21648,            0.099292,            0.069026,             0.16308,            0.036822,           0.0098916,           0.0098916,           0.0098916
                   9,             0.07043,             0.20968,            0.040425,             0.35155,             0.27194,             0.22687,             0.10484,            0.068637,             0.16249,            0.036157,           0.0098586,           0.0098586,           0.0098586
                  10,            0.070002,             0.20872,            0.039681,             0.40843,             0.24719,              0.2329,             0.10824,             0.06825,             0.16175,            0.035554,           0.0098213,           0.0098213,           0.0098213
                  11,            0.069673,             0.20881,            0.039025,             0.37434,             0.27285,             0.24258,             0.11361,            0.067894,             0.16113,            0.034928,           0.0097798,           0.0097798,           0.0097798
                  12,            0.069457,             0.20773,             0.03856,                0.39,             0.28114,             0.24972,             0.11748,            0.067569,             0.16068,            0.034398,            0.009734,            0.009734,            0.009734
                  13,            0.069241,             0.20719,             0.03817,              0.4244,             0.27602,             0.25746,             0.12244,            0.067221,                0.16,            0.033753,            0.009684,            0.009684,            0.009684
                  14,             0.06896,             0.20648,            0.037796,             0.44111,             0.27567,             0.26333,             0.12581,            0.066899,             0.15953,            0.033255,           0.0096299,           0.0096299,           0.0096299
                  15,            0.068753,             0.20661,            0.037515,             0.44202,             0.28635,             0.27156,             0.13077,            0.066575,             0.15907,            0.032737,           0.0095717,           0.0095717,           0.0095717
                  16,            0.068618,               0.206,            0.037226,             0.43702,             0.29588,             0.27935,             0.13478,            0.066325,             0.15856,            0.032263,           0.0095095,           0.0095095,           0.0095095
                  17,            0.068532,             0.20602,             0.03702,             0.44119,             0.29941,             0.28446,             0.13741,            0.066044,             0.15827,            0.031835,           0.0094434,           0.0094434,           0.0094434
                  18,            0.068311,             0.20476,            0.036784,              0.4649,             0.29572,             0.28997,             0.14117,            0.065806,             0.15776,            0.031335,           0.0093733,           0.0093733,           0.0093733
                  19,            0.068196,             0.20546,            0.036588,             0.48063,             0.29837,             0.29785,             0.14517,            0.065558,             0.15746,            0.031037,           0.0092995,           0.0092995,           0.0092995
                  20,            0.068127,             0.20487,            0.036315,             0.46313,             0.30361,             0.29968,             0.14722,            0.065448,             0.15719,            0.030754,           0.0092219,           0.0092219,           0.0092219
                  21,            0.068032,             0.20459,            0.036232,             0.43992,             0.32051,             0.30438,             0.15046,            0.065177,             0.15689,            0.030411,           0.0091406,           0.0091406,           0.0091406
                  22,            0.067977,             0.20516,            0.036104,             0.45326,             0.31841,             0.30828,             0.15289,            0.065026,             0.15666,            0.030139,           0.0090557,           0.0090557,           0.0090557
                  23,            0.067881,             0.20479,            0.035996,             0.45243,             0.32954,             0.31494,             0.15624,            0.064836,              0.1564,             0.02992,           0.0089673,           0.0089673,           0.0089673
                  24,            0.067881,             0.20487,            0.035822,             0.47994,             0.31822,             0.31665,             0.15764,             0.06472,              0.1563,            0.029577,           0.0088755,           0.0088755,           0.0088755
                  25,            0.067676,             0.20425,            0.035715,             0.45472,             0.32759,             0.31969,             0.15956,            0.064599,             0.15594,            0.029424,           0.0087804,           0.0087804,           0.0087804
                  26,            0.067635,              0.2044,            0.035568,             0.48206,              0.3252,             0.32245,             0.16168,            0.064412,             0.15574,            0.029165,            0.008682,            0.008682,            0.008682
                  27,            0.067494,             0.20356,            0.035436,              0.4835,             0.32434,             0.32592,             0.16255,            0.064329,             0.15559,             0.02898,           0.0085805,           0.0085805,           0.0085805
                  28,            0.067456,             0.20362,            0.035392,             0.49618,             0.32607,             0.33027,             0.16558,            0.064242,             0.15548,            0.028796,           0.0084759,           0.0084759,           0.0084759
                  29,            0.067399,             0.20367,            0.035236,             0.48782,             0.33088,             0.32935,              0.1667,            0.064166,             0.15543,            0.028661,           0.0083684,           0.0083684,           0.0083684
                  30,            0.067277,             0.20332,             0.03508,             0.45864,             0.34142,             0.33218,             0.16702,            0.064073,             0.15527,            0.028543,           0.0082581,           0.0082581,           0.0082581
                  31,             0.06731,             0.20373,            0.034966,             0.51016,             0.32503,             0.33488,             0.16841,               0.064,             0.15521,            0.028367,            0.008145,            0.008145,            0.008145
                  32,            0.067219,             0.20329,             0.03498,             0.50993,             0.32778,             0.33597,             0.16916,            0.063904,             0.15532,            0.028272,           0.0080294,           0.0080294,           0.0080294
                  33,            0.067065,             0.20351,            0.034794,             0.48466,             0.34228,             0.33814,             0.17018,            0.063823,             0.15509,            0.028113,           0.0079112,           0.0079112,           0.0079112
                  34,            0.067023,             0.20265,             0.03471,             0.51279,             0.33441,             0.33992,              0.1718,            0.063785,             0.15503,            0.028026,           0.0077907,           0.0077907,           0.0077907
                  35,             0.06698,             0.20281,            0.034612,             0.52151,             0.33359,              0.3423,             0.17239,            0.063703,             0.15496,            0.027919,           0.0076679,           0.0076679,           0.0076679
                  36,            0.066896,             0.20227,            0.034511,              0.5268,             0.33159,             0.34391,              0.1746,            0.063616,             0.15478,            0.027881,            0.007543,            0.007543,            0.007543
                  37,            0.066911,             0.20292,            0.034462,             0.50721,             0.33617,             0.34601,             0.17555,            0.063565,             0.15474,            0.027749,            0.007416,            0.007416,            0.007416
                  38,            0.066818,             0.20253,            0.034385,             0.48484,             0.35342,             0.34506,             0.17558,            0.063482,             0.15473,            0.027682,           0.0072872,           0.0072872,           0.0072872
                  39,            0.066768,             0.20267,            0.034243,             0.50332,             0.34444,              0.3487,             0.17758,            0.063432,             0.15451,            0.027593,           0.0071566,           0.0071566,           0.0071566
                  40,            0.066752,             0.20245,            0.034142,             0.47561,             0.35831,             0.34909,             0.17785,            0.063372,             0.15457,            0.027481,           0.0070243,           0.0070243,           0.0070243
                  41,            0.066679,             0.20216,            0.034033,             0.50364,             0.35288,             0.35178,             0.17826,            0.063302,             0.15444,            0.027321,           0.0068906,           0.0068906,           0.0068906
                  42,            0.066507,              0.2018,            0.033952,             0.50068,             0.35231,             0.35359,              0.1797,            0.063236,             0.15445,            0.027292,           0.0067555,           0.0067555,           0.0067555
                  43,            0.066463,               0.202,             0.03383,             0.52034,             0.35011,             0.35484,             0.18033,            0.063233,             0.15442,            0.027209,           0.0066191,           0.0066191,           0.0066191
                  44,            0.066452,             0.20137,            0.033824,             0.50402,             0.35371,             0.35511,             0.18147,             0.06319,             0.15431,            0.027131,           0.0064816,           0.0064816,           0.0064816
                  45,            0.066316,             0.20078,            0.033694,             0.50139,             0.35647,             0.35576,             0.18103,            0.063158,              0.1543,            0.027058,           0.0063432,           0.0063432,           0.0063432
                  46,            0.066266,              0.2013,            0.033567,             0.51205,             0.35496,             0.35853,              0.1829,            0.063097,             0.15431,            0.026966,            0.006204,            0.006204,            0.006204
                  47,              0.0663,             0.20156,            0.033446,             0.51792,             0.35142,             0.35797,             0.18199,             0.06306,             0.15417,            0.026911,            0.006064,            0.006064,            0.006064
                  48,            0.066206,             0.20137,            0.033326,             0.52775,              0.3523,             0.36018,             0.18332,            0.063027,             0.15423,            0.026892,           0.0059235,           0.0059235,           0.0059235
                  49,            0.066118,             0.20107,            0.033319,             0.54924,             0.34584,              0.3626,             0.18513,            0.062974,             0.15411,            0.026849,           0.0057826,           0.0057826,           0.0057826
                  50,             0.06602,             0.20127,            0.033149,              0.5327,             0.34892,             0.36173,             0.18491,            0.062908,             0.15407,            0.026782,           0.0056413,           0.0056413,           0.0056413
                  51,            0.065976,             0.20063,            0.033105,             0.50205,             0.36184,               0.362,             0.18443,            0.062896,             0.15397,            0.026686,              0.0055,              0.0055,              0.0055
                  52,            0.065806,              0.2001,            0.033017,             0.53535,             0.34976,             0.36483,             0.18609,            0.062867,             0.15384,            0.026728,           0.0053587,           0.0053587,           0.0053587
                  53,            0.065833,             0.20023,            0.032975,             0.51109,             0.36312,             0.36539,             0.18628,            0.062793,             0.15396,            0.026686,           0.0052174,           0.0052174,           0.0052174
                  54,            0.065712,             0.20036,            0.032827,             0.52912,             0.35021,             0.36345,             0.18531,            0.062757,             0.15389,            0.026611,           0.0050765,           0.0050765,           0.0050765
                  55,            0.065708,             0.20025,            0.032747,             0.53142,              0.3521,              0.3659,             0.18849,            0.062746,             0.15377,            0.026472,            0.004936,            0.004936,            0.004936
                  56,            0.065642,             0.19958,            0.032522,             0.51892,             0.35675,             0.36613,             0.18811,            0.062678,             0.15378,              0.0264,            0.004796,            0.004796,            0.004796
                  57,            0.065527,             0.19993,            0.032513,              0.5461,             0.35024,             0.36665,             0.18822,            0.062674,              0.1537,             0.02633,           0.0046568,           0.0046568,           0.0046568
                  58,            0.065535,             0.19973,            0.032343,             0.54614,             0.34769,             0.36692,             0.18801,            0.062627,             0.15372,            0.026316,           0.0045184,           0.0045184,           0.0045184
                  59,            0.065448,             0.19927,            0.032261,             0.54881,              0.3491,             0.36786,             0.18956,            0.062608,             0.15365,            0.026277,           0.0043809,           0.0043809,           0.0043809
                  60,            0.065356,             0.19945,            0.032276,             0.54411,             0.35518,             0.36947,                0.19,            0.062557,             0.15352,            0.026214,           0.0042445,           0.0042445,           0.0042445
                  61,            0.065298,             0.19964,            0.032037,             0.52229,             0.36499,             0.37082,             0.19094,            0.062565,             0.15351,            0.026118,           0.0041094,           0.0041094,           0.0041094
                  62,            0.065263,              0.1993,            0.032042,             0.50954,             0.36702,             0.37007,             0.19201,            0.062549,             0.15342,            0.026158,           0.0039757,           0.0039757,           0.0039757
                  63,            0.065157,             0.19935,            0.031938,             0.53198,             0.35709,             0.37009,             0.19063,            0.062521,             0.15345,            0.026086,           0.0038434,           0.0038434,           0.0038434
                  64,            0.065016,             0.19862,            0.031747,             0.54723,             0.34821,             0.37052,             0.19146,            0.062508,             0.15324,            0.026051,           0.0037128,           0.0037128,           0.0037128
                  65,            0.064938,             0.19805,            0.031773,             0.50799,             0.36424,             0.37016,              0.1917,            0.062467,             0.15326,            0.026032,            0.003584,            0.003584,            0.003584
                  66,            0.064911,             0.19906,            0.031619,             0.51317,             0.36475,             0.37162,             0.19174,            0.062469,             0.15315,             0.02597,            0.003457,            0.003457,            0.003457
                  67,            0.064769,             0.19834,            0.031448,             0.53721,             0.35826,             0.37291,             0.19316,            0.062403,             0.15311,            0.025942,           0.0033321,           0.0033321,           0.0033321
                  68,            0.064813,             0.19784,            0.031413,             0.53224,             0.35865,             0.37403,             0.19278,            0.062343,             0.15311,            0.025892,           0.0032093,           0.0032093,           0.0032093
                  69,            0.064753,              0.1982,             0.03129,             0.52952,             0.35916,             0.37391,             0.19347,            0.062392,             0.15299,            0.025867,           0.0030888,           0.0030888,           0.0030888
                  70,            0.064597,             0.19822,            0.031116,              0.5437,             0.35701,             0.37474,             0.19338,             0.06233,             0.15302,            0.025874,           0.0029706,           0.0029706,           0.0029706
                  71,            0.064513,             0.19726,            0.030984,              0.5464,             0.35603,              0.3756,             0.19461,            0.062301,             0.15296,            0.025746,            0.002855,            0.002855,            0.002855
                  72,            0.064429,             0.19739,            0.030955,             0.53202,             0.36305,             0.37636,             0.19486,            0.062309,             0.15286,            0.025712,           0.0027419,           0.0027419,           0.0027419
                  73,             0.06438,             0.19734,            0.030777,             0.56184,             0.35245,             0.37685,             0.19513,            0.062258,             0.15294,             0.02569,           0.0026316,           0.0026316,           0.0026316
                  74,            0.064303,             0.19756,            0.030724,             0.51497,             0.37214,             0.37853,             0.19559,            0.062186,             0.15283,            0.025559,           0.0025241,           0.0025241,           0.0025241
                  75,            0.064279,             0.19699,            0.030575,             0.51006,             0.37134,             0.37865,             0.19679,            0.062183,             0.15273,            0.025576,           0.0024195,           0.0024195,           0.0024195
                  76,            0.064169,             0.19674,            0.030576,             0.54231,             0.35798,             0.37849,             0.19523,            0.062152,             0.15271,            0.025505,            0.002318,            0.002318,            0.002318
                  77,            0.064088,             0.19675,             0.03039,             0.55559,             0.35333,             0.37998,             0.19739,            0.062154,             0.15271,            0.025422,           0.0022196,           0.0022196,           0.0022196
                  78,            0.064093,             0.19627,            0.030352,             0.53026,             0.36912,             0.38198,             0.19733,            0.062097,             0.15262,            0.025358,           0.0021245,           0.0021245,           0.0021245
                  79,            0.063982,             0.19626,            0.030139,             0.52811,             0.37186,             0.38167,             0.19645,            0.062142,             0.15262,            0.025384,           0.0020327,           0.0020327,           0.0020327
                  80,            0.063886,             0.19596,            0.030079,             0.53201,             0.36994,             0.38244,             0.19799,            0.062084,              0.1526,            0.025361,           0.0019443,           0.0019443,           0.0019443
                  81,            0.063829,             0.19608,             0.03002,             0.52585,              0.3738,             0.38346,             0.19837,            0.062036,             0.15249,            0.025239,           0.0018594,           0.0018594,           0.0018594
                  82,            0.063797,             0.19579,            0.029896,             0.53975,             0.36143,             0.38253,             0.19923,            0.062012,             0.15266,            0.025249,           0.0017781,           0.0017781,           0.0017781
                  83,            0.063722,             0.19534,            0.029838,             0.50968,             0.38244,             0.38386,             0.19756,            0.062044,             0.15255,            0.025191,           0.0017005,           0.0017005,           0.0017005
                  84,            0.063633,             0.19598,            0.029745,             0.51785,             0.37358,              0.3833,             0.19946,            0.062002,             0.15239,            0.025214,           0.0016267,           0.0016267,           0.0016267
                  85,            0.063639,             0.19545,            0.029593,             0.52905,             0.37209,             0.38508,             0.20039,            0.061965,             0.15235,            0.025161,           0.0015566,           0.0015566,           0.0015566
                  86,            0.063571,             0.19507,            0.029575,             0.53695,             0.37407,             0.38666,             0.20156,            0.061936,              0.1523,            0.025174,           0.0014905,           0.0014905,           0.0014905
                  87,              0.0635,             0.19448,             0.02948,             0.52969,             0.37213,             0.38579,             0.20009,            0.061941,             0.15226,            0.025156,           0.0014283,           0.0014283,           0.0014283
                  88,             0.06339,             0.19464,            0.029325,             0.50755,             0.38678,             0.38703,             0.20181,            0.061917,             0.15227,            0.025083,           0.0013701,           0.0013701,           0.0013701
                  89,            0.063326,             0.19467,            0.029253,              0.5132,             0.38798,             0.38848,             0.20238,            0.061852,             0.15226,            0.025035,            0.001316,            0.001316,            0.001316
                  90,            0.063333,             0.19466,            0.029238,             0.53127,             0.37633,             0.38636,             0.20126,            0.061916,             0.15229,            0.025102,            0.001266,            0.001266,            0.001266
                  91,            0.063237,             0.19454,            0.029117,             0.54154,             0.37327,             0.38839,              0.2032,            0.061859,             0.15223,            0.024997,           0.0012202,           0.0012202,           0.0012202
                  92,            0.063271,             0.19402,             0.02916,             0.55734,             0.36835,             0.38893,             0.20261,            0.061797,             0.15215,             0.02495,           0.0011787,           0.0011787,           0.0011787
                  93,            0.063053,             0.19356,            0.029058,             0.54326,             0.37296,             0.38907,             0.20321,            0.061885,             0.15213,            0.024973,           0.0011414,           0.0011414,           0.0011414
                  94,            0.063148,             0.19414,            0.028959,             0.56156,             0.36335,             0.38924,             0.20305,            0.061794,             0.15198,            0.024914,           0.0011084,           0.0011084,           0.0011084
                  95,            0.063122,             0.19405,            0.028921,             0.55475,              0.3709,             0.39093,             0.20337,            0.061872,             0.15202,            0.024964,           0.0010797,           0.0010797,           0.0010797
                  96,            0.063138,             0.19404,            0.028847,             0.51853,             0.37798,             0.38685,              0.2023,            0.061854,             0.15214,            0.024968,           0.0010554,           0.0010554,           0.0010554
                  97,            0.063124,             0.19449,            0.028844,             0.51749,             0.38459,             0.38876,              0.2034,             0.06182,             0.15196,              0.0249,           0.0010355,           0.0010355,           0.0010355
                  98,            0.063018,             0.19335,            0.028941,             0.53579,              0.3748,             0.38881,             0.20325,            0.061844,               0.152,            0.024924,             0.00102,             0.00102,             0.00102
                  99,            0.063075,              0.1936,            0.028808,             0.56426,              0.3643,             0.39039,             0.20362,            0.061813,             0.15197,            0.024867,           0.0010089,           0.0010089,           0.0010089
                  99,            0.063075,              0.1936,            0.028808,             0.52646,             0.36984,             0.38885,              0.2126,             0.06184,             0.15193,            0.024797,           0.0010089,           0.0010089,           0.0010089
